episode,total_reward,avg_distance,final_distance,initial_distance
1,-2.647276,454.3894931976537,433.0433914732861,465.7694777620209
2,-2.7619336,315.539935837048,306.8457000421086,324.34008832690176
3,-3.0373695,556.7878789933725,559.7344180311874,572.0710383424073
4,-2.5647793,300.7420070099496,269.99041072611175,320.9557545058378
5,-2.7794118,549.3205320655234,515.952713958573,581.24013978123
6,-3.0021095,652.6865037745882,664.575210455411,650.0947308830135
7,1.0990345,537.3607767692281,551.058713506775,512.8621635101354
8,-1.0494928,716.3348508461139,710.4557654568781,711.1027319868715
9,-2.9129002,686.3371988949938,703.5361810174319,673.4940961645935
10,-2.1225364,703.3746909533199,719.6038938371556,692.450202214917
11,-2.1268055,686.8004685624467,629.0891499665107,729.1637828155423
12,-3.2410123,497.92363079420295,520.1918920620622,478.3623559296945
13,-3.2059827,553.9887857764401,547.2322444349516,548.8888419294107
14,-2.9234776,454.50443393074204,459.73388998318603,464.2163331868012
15,-3.3614101,477.46744274243866,482.90164145034026,469.4877343863737
