episode,total_reward,avg_distance,final_distance,initial_distance,phase
1,1.2668531,658.6292720591777,672.9525527748146,615.4433828471913,1
2,-0.16268194,590.971768077051,624.0118913952268,582.0519890129705,1
3,-0.4232005,595.9760030445942,590.2236056824881,609.0925037079573,1
4,1.1249888,602.9144704021419,607.2950729881475,606.5380811998153,1
5,1.6786712,626.5562342891618,694.3207510319636,612.8050188317272,1
6,5.01534,683.3794118016639,714.3961388468113,614.7736778990482,1
7,0.42220592,663.3965239185569,629.0288126773463,630.2997977556618,1
8,11.683793,581.5604073804096,556.221979384093,605.9436702136423,1
9,-5.7273865,648.1719890887267,716.1464264061782,614.0470912903761,1
10,5.8810945,618.6816860068897,593.8727203143882,602.230453517939,1
11,5.716135,596.4150831957801,574.0268096713324,613.5579914716625,1
12,6.682667,611.9032235680387,613.0358645931676,627.7500545841203,1
13,0.09311925,599.5433381663187,667.752337990136,602.4449649660511,1
14,-0.39711297,591.4267504296683,569.1468209455209,607.9693903161752,1
15,2.9500594,583.0437696562577,593.0310060719747,596.3706223787829,1
16,1.3435813,669.3523445207251,689.1167458752251,628.2501438847133,1
17,3.6378672,653.0569859214794,657.4362443962588,636.7777477956344,1
18,4.4003673,548.8529845435938,540.2855950107936,583.1740597617577,1
19,-0.33008453,630.4728516611463,643.7446482614084,604.9971066223237,1
20,5.434747,529.3488346524944,488.27917515486985,615.9034843372449,1
21,4.6672916,565.7202808589429,554.428013933214,608.9024340856887,1
22,15.323353,564.262499107059,453.54574191001956,602.8729782282339,1
23,3.5761533,553.2691138288174,539.7265245033533,611.4625625472188,1
24,15.884522,516.933679624949,463.0440130954482,600.8721888881707,1
25,21.585897,498.0069243647387,363.04669973110407,627.9100175165244,1
26,20.768166,469.44291142144874,371.450112464524,585.4920501857048,1
27,5.3783336,602.5389811407059,559.8367519868152,616.8318212351348,1
28,8.378053,494.7960820819363,436.0938397570986,615.0816989253632,1
29,1.0244213,592.2127892134341,600.95941432175,624.1719985941567,1
30,7.718657,602.790393271982,547.4098030084394,617.1479036852044,1
31,20.518291,479.2975184867695,384.5679349684038,606.9742658711477,1
32,12.478298,579.9809105049476,563.177636096564,610.3493316548952,1
33,27.073917,422.69709299642267,292.43482159476144,609.5697122748834,1
34,7.7372975,549.6761901856294,531.98306140812,599.1753147477918,1
35,26.624115,465.24989043065267,295.220598132553,613.5797073607865,1
36,9.317962,544.2080146621009,532.7188980571093,600.669491755464,1
37,16.094883,539.122321529329,460.4569873763679,604.7476112480757,1
38,18.243711,521.2610352739243,436.06418767154037,602.5662870898716,1
39,21.552614,480.60227108371066,384.79209987490765,603.1379963597766,1
40,20.16264,483.3834821695494,362.2852062866272,602.725182347344,1
41,6.8954926,561.1138606675844,482.9092897525699,583.9119098179196,1
42,17.061579,529.7210684918914,467.29273350483027,611.0468125374014,1
43,14.409691,557.0951912055913,488.3961241266663,592.6904211312889,1
44,20.67279,504.0856730130038,407.1875505556353,603.7727737207764,1
45,18.043169,486.8418041721653,405.0997734857525,611.2585768738146,1
46,22.41279,499.38806183186654,377.0130512384319,614.5050136175072,1
47,6.564218,500.5796651618602,456.90900607449004,602.9137457486755,1
48,25.959974,496.1798311189911,319.20419428655936,612.1869654871512,1
49,14.77413,501.92753551985544,433.2576294073912,597.7055482419992,1
50,29.984629,421.23485920785555,252.94670510060016,593.5798554454235,1
51,19.350912,532.9569586020735,436.2295725056962,605.2727300586685,1
52,31.296167,382.6766703264396,211.4046633028978,597.7917737834523,1
53,29.937433,386.02679218286397,239.71294028810706,605.202799916644,1
54,27.84303,444.01564151665735,276.5486682819463,610.5215107793038,1
55,26.234459,440.33976884357384,305.8641057003859,604.1158628994626,1
56,26.279964,444.7725504884789,319.71557901159207,593.7251774934989,1
57,21.512104,477.8557067231897,366.6213297290463,625.0506206126231,1
58,24.222498,471.35416096328987,349.08471787661813,593.7690217906802,1
59,19.445185,540.6503258176394,439.2491589444511,612.9084355392915,1
60,23.475784,504.15662252749036,371.2326808455758,614.0457527173581,1
61,10.14218,524.7328596049642,477.83573992727867,631.4316728219219,1
62,23.954226,471.3898835652141,366.8697289651122,604.2758144844028,1
63,19.531738,482.4489237812324,364.5534567208849,606.9171783421176,1
64,22.95157,487.51869893535513,376.4269587011409,612.929780510726,1
65,19.66977,546.3159340942449,434.2096275917854,607.0707113227601,1
66,28.481525,416.51654506131075,275.83369696164675,593.1714824261024,1
67,24.86397,450.31673699695847,357.94901923077657,590.7011278800077,1
68,14.463746,500.6943748818084,413.87966655645556,606.516448609967,1
69,25.47953,419.9058044025099,302.10469494722787,597.4703233705876,1
70,24.503172,480.35056642022033,343.87918564690835,614.6746228645958,1
71,28.68306,441.53585275886144,271.29735145450195,620.8640960348446,1
72,17.463652,477.8007598300283,396.7653384430217,604.999147103407,1
73,25.536568,500.6018417334739,326.57721931156425,606.9179818041403,1
74,4.0155582,525.9597846672028,484.9476016359912,600.5376945786886,1
75,18.344088,470.7120660623735,413.10243857694223,598.1315926829757,1
76,27.396872,471.0582295212551,295.82510429506215,598.2866006729517,1
77,24.67866,492.6225219371273,347.80005335961977,596.0978934571502,1
78,13.866663,464.8874653884463,392.6646370471096,604.964379917488,1
79,27.337265,460.80321367955037,304.19757555827823,588.2129168432638,1
80,28.02031,403.6832568468019,293.4364519646202,603.3414595662036,1
81,28.559639,445.33486365143136,277.2157436801769,596.9972533817121,1
82,28.935942,471.2414864093265,270.3898247122964,617.3013945475208,1
83,27.86552,445.609117398842,290.7637291793898,606.1861537452648,1
84,27.471613,455.0896409672544,287.9968768080204,608.4577544357195,1
85,31.344982,396.3660398187222,224.16467064087414,595.4418991960088,1
86,25.706459,446.47597854097336,334.73913432965975,604.6062154494456,1
87,31.522411,411.5728334652789,217.88961371584483,598.0692954672946,1
88,31.457722,416.7837289553915,232.63392130382462,609.0918358224346,1
89,34.331074,394.0692021736676,179.71793360390666,601.6273606626637,1
90,34.82391,342.26775992363,166.4644150122905,589.6739406795897,1
91,26.00098,472.59427229821875,322.4748443413029,599.7953633693648,1
92,31.338997,439.857441877624,230.24427420638037,613.8416332523194,1
93,30.608051,428.71510343830334,239.1288878454631,601.6740130830698,1
94,31.441689,389.37186346306333,222.96899831724045,606.0433477801755,1
95,29.978218,425.0505669315101,230.09973476017214,602.1462242720463,1
96,44.992954,374.18677083165437,145.95370824905265,583.8737699165392,1
97,33.126675,373.1568867524416,205.39378666392244,600.297220752023,1
98,30.02472,455.20147178761687,251.7699381074841,612.184727827856,1
99,26.474262,447.8913868046835,318.4224868133712,613.4373110021761,1
100,33.875854,368.324027060427,177.14152219603628,607.122902698201,1
101,31.525835,360.1360911067291,232.57675893887,602.650747162332,1
