#{"t_start": 1760112644.557873, "env_id": "None"}
r,l,t
1.266853,30,13.846416
-0.162682,30,119.798683
-0.423201,30,130.849669
1.124989,30,141.95441
1.67867,30,152.951927
5.01534,30,164.069391
0.422206,30,175.165039
11.683795,30,186.22163
-5.727386,30,197.302129
5.881095,30,208.403621
5.716136,30,219.501344
6.682667,30,230.610267
0.093119,30,241.819622
-0.397113,30,252.891907
2.95006,30,264.008111
1.343582,30,275.125834
3.637868,30,286.319515
4.400367,30,297.710114
-0.330085,30,309.071359
5.434747,30,320.464976
4.667291,30,331.814482
15.323353,30,343.284806
3.576153,30,354.637341
15.884523,30,366.043919
21.585894,30,377.39548
20.768168,30,388.758612
5.378334,30,400.114271
8.378053,30,411.495291
1.024421,30,422.885476
7.718657,30,434.2652
20.518296,30,445.62974
12.4783,30,456.99669
27.073921,30,468.371464
7.737298,30,479.731572
26.624116,30,490.997879
9.317961,30,502.363955
16.094883,30,513.636204
18.243709,30,525.017423
21.552617,30,536.364466
20.162637,30,547.744146
6.895493,30,559.147728
17.061578,30,570.539562
14.409689,30,581.925112
20.672795,30,593.280657
18.043169,30,604.678521
22.412789,30,616.043729
6.564218,30,627.424288
25.959976,30,638.779458
14.774128,30,650.025956
29.984629,30,661.42392
19.350916,30,672.80507
31.296168,30,684.190096
29.937432,30,695.565054
27.84303,30,706.834754
26.234456,30,718.229602
26.279964,30,729.570898
21.512104,30,740.864757
24.222495,30,752.23719
19.445184,30,763.695512
23.475785,30,775.045943
10.142181,30,786.428194
23.954225,30,797.797231
19.531737,30,809.175084
22.951572,30,820.551669
19.669767,30,831.808209
28.481527,30,843.22898
24.86397,30,854.589588
14.463746,30,865.996588
25.47953,30,877.378826
24.503173,30,888.775639
28.683059,30,900.240077
17.46365,30,911.593935
25.536566,30,923.061009
4.015558,30,934.430258
18.344084,30,945.807425
27.396873,30,957.174958
24.678657,30,968.531057
13.86666,30,979.913456
27.337267,30,991.305911
28.020311,30,1002.673258
28.559642,30,1014.01863
28.935941,30,1025.402744
27.865523,30,1036.806078
27.471613,30,1048.139161
31.344982,30,1059.512383
25.70646,30,1070.888797
31.522408,30,1082.256496
31.457724,30,1093.691064
34.331074,30,1105.070892
34.823912,30,1116.412775
26.000979,30,1127.76355
31.339,30,1139.113442
30.608051,30,1150.473057
31.441692,30,1161.832589
29.978218,30,1173.213417
44.992954,30,1184.485133
33.126677,30,1195.878734
30.024717,30,1207.265014
26.474262,30,1218.629183
33.875852,30,1229.991187
31.525834,30,1241.388016
29.156182,30,1252.745839
29.573367,30,1264.077277
27.22546,30,1275.461258
33.271198,30,1286.861274
31.240829,30,1298.248553
30.238052,30,1309.553772
33.41604,30,1320.945695
29.765089,30,1332.33266
31.131726,30,1343.575173
31.230832,30,1354.976923
44.901764,30,1366.351649
32.557469,30,1377.75267
34.17617,30,1389.167444
31.32067,30,1400.520991
33.597268,30,1411.919024
33.60143,30,1423.271299
45.200341,28,1433.996307
44.986167,29,1445.061178
30.315157,30,1456.466526
31.860662,30,1467.873398
34.434655,30,1479.351748
33.182478,30,1490.762208
35.027,30,1502.149597
35.019305,30,1513.55085
44.710585,26,1523.67014
33.828943,30,1535.059239
33.605024,30,1546.41221
34.386998,30,1557.782988
34.674175,30,1569.145668
34.41543,30,1580.615766
34.196386,30,1591.978427
35.113705,30,1603.337438
31.68953,30,1614.738776
45.569692,28,1625.476725
35.253562,30,1636.869641
35.254919,30,1648.264873
34.606047,30,1659.65144
34.091102,30,1671.028017
33.942685,30,1682.374999
33.591919,30,1693.775371
34.785088,30,1705.167741
34.1581,30,1716.553763
34.744045,30,1727.956946
34.300088,30,1739.342004
33.631774,30,1750.714912
33.33659,30,1762.073104
33.255216,30,1773.552924
35.110009,30,1784.957355
32.013943,30,1796.328418
33.776188,30,1807.713003
34.195429,30,1819.089207
33.50815,30,1830.48265
34.346516,30,1841.864937
33.453689,30,1853.261037
33.802267,30,1864.649357
33.559638,30,1876.020279
34.782769,30,1887.411967
33.695562,30,1898.67427
33.624673,30,1910.102184
34.018862,30,1921.454857
34.198925,30,1932.836703
33.915831,30,1944.253912
34.364617,30,1955.635683
33.055465,30,1967.022981
32.282469,30,1978.434032
31.802574,30,1989.793373
35.119615,30,2001.17785
33.283638,30,2012.529642
33.937609,30,2023.820703
34.102371,30,2035.19701
32.782407,30,2046.570008
33.82221,30,2058.048575
33.336181,30,2069.432594
34.342677,30,2080.827129
34.504209,30,2092.237708
33.39732,30,2103.613694
34.484736,30,2114.980213
34.214432,30,2126.370161
34.257876,30,2137.753837
32.811834,30,2149.182908
33.25163,30,2160.575943
34.3392,30,2171.964183
33.824085,30,2183.344245
34.537589,30,2194.69311
33.141184,30,2206.052446
34.159562,30,2217.429936
32.613566,30,2228.788253
32.567338,30,2240.179681
34.156832,30,2251.525411
34.364402,30,2262.927135
33.862807,30,2274.274701
34.503089,30,2285.667585
33.923601,30,2297.058838
34.194551,30,2308.430377
32.913611,30,2319.793239
33.936986,30,2331.179597
35.274976,30,2342.486061
33.744164,30,2353.858168
33.999011,30,2365.269201
33.092178,30,2376.675151
34.391237,30,2388.066429
34.058471,30,2399.426165
33.883956,30,2410.804832
33.746949,30,2422.197272
35.213455,30,2433.534789
31.636905,30,2444.909382
34.486042,30,2456.332393
33.136401,30,2467.626882
33.570369,30,2479.055663
34.665889,30,2490.59752
34.196698,30,2501.985145
33.707003,30,2513.36057
34.14802,30,2524.727754
34.296203,30,2536.113542
34.123596,30,2547.486209
34.640611,30,2558.871059
34.299767,30,2570.241664
34.381718,30,2581.65242
33.776332,30,2593.039475
33.22815,30,2604.381901
34.544671,30,2615.807728
33.908713,30,2627.180733
34.708779,30,2638.573664
34.353078,30,2649.967769
34.796996,30,2661.334106
34.72726,30,2672.753884
34.208697,30,2684.142467
34.226493,30,2695.521671
35.39719,30,2706.945449
34.087794,30,2718.35729
33.736392,30,2729.692335
34.514936,30,2741.098813
34.20894,30,2752.507015
